"id_hecho","fecha","año","mes","dia","hora_detallada","hora","dia_semana","","direccion","comuna","tipo_de_calle","geocodificacion_caba","longitud","latitud","causante","afectado","n_victimas","","",""
"LC-2023-0142133","2023-03-17","2023","Marzo","17","5:00:00 PM","17","Viernes","SAN PEDRITO AV. y ALBERDI, JUAN BAUTISTA AV.","San Pedrito Av. Y Alberdi, Juan Bautista Av.","7","Avenida","POINT(99524.58712 99554.50375)","-58.46848","-34.63328","Bicicleta","Utilitario","1","","",""
"LC-2023-0142248","2023-03-17","2023","Marzo","17","5:00:00 PM","17","Viernes","TRONADOR y BESARES","Tronador Y Besares","12","Calle","POINT(97817.31651 108544.8981)","-58.48708","-34.55224","Moto","Moto","1","","",""
"LC-2023-0142255","2023-03-17","2023","Marzo","17","5:30:00 PM","17","Viernes","FIGUEROA ALCORTA, PRES. AV. y SÁENZ VALIENTE, JUAN PABLO","Figueroa Alcorta, Pres. Av. Y Sáenz Valiente, Juan Pablo","13","Avenida","POINT(101469.3545 109124.9222)","-58.44729","-34.54701","Peatón","Auto","1","","",""
"LC-2023-0142290","2023-03-17","2023","Marzo","17","4:10:00 PM","16","Viernes","CAMPANA y ARANGUREN, JUAN F., DR.","Campana Y Aranguren, Juan F., Dr.","10","Calle","POINT(98729.97551 100306.6928)","-58.47714","-34.6265","Moto","Auto","1","","",""
"LC-2023-0142612","2023-03-17","2023","Marzo","17","4:59:00 PM","16","Viernes","JUSTO, JUAN B. AV. y CONCORDIA","Justo, Juan B. Av. Y Concordia","11","Avenida","POINT(98398.3395 100797.67)","-58.48076","-34.62207","Moto","Auto","1","","",""
"LC-2023-0142733","2023-03-17","2023","Marzo","17","2:56:00 PM","14","Viernes","LACROZE, FEDERICO AV. y ÁLVAREZ THOMAS AV.","Lacroze, Federico Av. Y Álvarez Thomas Av.","15","Avenida","POINT(101132.7658 105409.9814)","-58.45095","-34.5805","Moto","Utilitario","1","","",""
"LC-2023-0142757","2023-03-17","2023","Marzo","17","5:00:00 PM","17","Viernes","ESTADO PLURINACIONAL DE BOLIVIA 1931","Estado Plurinacional De Bolivia 1931","11","Calle","POINT(98735.21577 102135.6173)","-58.47708","-34.61001","Bicicleta","Auto","1","","",""
"LC-2023-0142764","2023-03-17","2023","Marzo","17","6:50:00 PM","18","Viernes","DE LOS CONSTITUYENTES AV. y ECHEVERRÍA","De Los Constituyentes Av. Y Echeverría","12","Avenida","POINT(97565.72302 105030.0704)","-58.48983","-34.58392","Peatón","Auto","1","","",""
"LC-2023-0142813","2023-03-17","2023","Marzo","17","8:00:00 PM","20","Viernes","DIRECTORIO AV. y CAÑADA DE GÓMEZ","Directorio Av. Y Cañada De Gómez","9","Avenida","POINT(96209.04239 96432.44593)","-58.50465","-34.66142","Peatón","Auto","1","","",""
"LC-2023-0142855","2023-03-17","2023","Marzo","17","7:50:00 PM","19","Viernes","AGUIRRE y HUMBOLDT","Aguirre Y Humboldt","15","Calle","POINT(101912.302 104309.1986)","-58.44245","-34.59042","Moto","Auto","1","","",""
"LC-2023-0142913","2023-03-17","2023","Marzo","17","9:55:00 PM","21","Viernes","DIRECTORIO AV. y MARTÍNEZ CASTRO","Directorio Av. Y Martínez Castro","9","Avenida","POINT(98706.46182 98836.84339)","-58.4774","-34.63975","Peatón","Auto","1","","",""
"LC-2023-0143586","2023-03-18","2023","Marzo","18","1:00:00 AM","1","Sábado","GALICIA y NAZCA AV.","Galicia Y Nazca Av.","11","Avenida","POINT(98852.19942 101199.7357)","-58.47581","-34.61845","Bicicleta","Taxi","2","","",""
"LC-2023-0143766","2023-03-18","2023","Marzo","18","2:50:00 AM","2","Sábado","PASEO COLÓN AV. y MORENO","Paseo Colón Av. Y Moreno","1","Avenida","POINT(108610.7755 102003.3379)","-58.36942","-34.61117","Taxi","Objeto Fijo","1","","",""
"LC-2023-0143792","2023-03-18","2023","Marzo","18","5:40:00 AM","5","Sábado","SANTA FE AV. y BULLRICH, INT. AV.","Santa Fe Av. Y Bullrich, Int. Av.","14","Avenida","POINT(103373.4511 105668.3326)","-58.42653","-34.57816","Auto","Camión","1","","",""
"LC-2023-0143800","2023-03-18","2023","Marzo","18","7:50:00 AM","7","Sábado","CAJARAVILLA 4300","Cajaravilla 4300","10","Calle","POINT(97885.09766 98907.01102)","-58.48636","-34.63911","Utilitario","Objeto Fijo","1","","",""
"LC-2023-0143886","2023-03-18","2023","Marzo","18","11:00:00 AM","11","Sábado","NAZCA AV. 3449","Nazca Av. 3449","15","Avenida","POINT(97219.31367 103707.5811)","-58.49361","-34.59584","Auto","Moto","1","","",""
"LC-2023-0144179","2023-03-18","2023","Marzo","18","1:00:00 PM","13","Sábado","CABILDO AV. y JURAMENTO AV.","Cabildo Av. Y Juramento Av.","13","Avenida","POINT(100606.1664 107458.455)","-58.45669","-34.56203","Peatón","Auto","1","","",""
"LC-2023-0144339","2023-03-18","2023","Marzo","18","8:56:00 PM","20","Sábado","AVELLANEDA AV. 3850","Avellaneda Av. 3850","10","Avenida","POINT(98220.12354 99991.93331)","-58.4827","-34.62934","Moto","Auto","1","","",""
"LC-2023-0144366","2023-03-18","2023","Marzo","18","5:10:00 PM","17","Sábado","CUENCA y ARREGUÍ","Cuenca Y Arreguí","11","Calle","POINT(97561.53587 102377.0761)","-58.48988","-34.60783","Moto","Auto","1","","",""
"LC-2023-0144410","2023-03-18","2023","Marzo","18","7:40:00 PM","19","Sábado","PAZ, GRAL. AV. 1040","Paz, Gral. Av. 1040","13","Av. General Paz","POINT(98965.24799 110011.6067)","-58.47504","-34.53824","Moto","Auto","2","","",""
"LC-2023-0144422","2023-03-18","2023","Marzo","18","1:20:00 PM","13","Sábado","AVELLANEDA y ACOYTE AV.","Avellaneda Y Acoyte Av.","6","Avenida","POINT(102337.4637 101685.3469)","-58.43781","-34.61407","Peatón","Objeto Fijo","1","","",""
"LC-2023-0144476","2023-03-18","2023","Marzo","18","2:30:00 PM","14","Sábado","CAMPOS, LUIS M. AV. 1230","Campos, Luis M. Av. 1230","14","Avenida","POINT(102069.0323 107114.7301)","-58.44075","-34.56513","Moto","Objeto Fijo","1","","",""
"LC-2023-0144478","2023-03-18","2023","Marzo","18","1:30:00 PM","13","Sábado","DORREGO AV. y LEMOS, JUAN GREGORIO, GRAL.","Dorrego Av. Y Lemos, Juan Gregorio, Gral.","15","Avenida","POINT(101556.1837 104378.1715)","-58.44633","-34.5898","Moto","Auto","1","","",""
"LC-2023-0144570","2023-03-18","2023","Marzo","18","8:00:00 PM","20","Sábado","ESTADO DE ISRAEL AV. 4797","Estado De Israel Av. 4797","15","Avenida","POINT(102882.0328 103074.7586)","-58.43188","-34.60154","Moto","Utilitario","1","","",""
"LC-2023-0144609","2023-03-18","2023","Marzo","18","6:00:00 PM","18","Sábado","MONTIEL 100","Montiel 100","9","Calle","POINT(94222.73121 98790.41855)","-58.5263","-34.64015","Auto","Auto","1","","",""
"LC-2023-0144613","2023-03-18","2023","Marzo","18","3:30:00 PM","15","Sábado","CÓRDOBA AV. 4084","Córdoba Av. 4084","15","Avenida","POINT(103545.9979 103551.6412)","-58.42464","-34.59722","Peatón","Objeto Fijo","1","","",""
"LC-2023-0144633","2023-03-18","2023","Marzo","18","6:30:00 PM","18","Sábado","COLOMBRES 1556","Colombres 1556","5","Calle","POINT(104286.5002 99687.3027)","-58.41655","-34.63207","Moto","Auto","1","","",""
"LC-2023-0144668","2023-03-19","2023","Marzo","19","3:30:00 AM","3","Domingo","PADRE CARLOS MUGICA 3100","Padre Carlos Mugica 3100","2","Calle","POINT(106221.87297 105763.667785)","-58.395489","-34.577295","Bicicleta","Auto","1","","",""
"LC-2023-0144766","2023-03-19","2023","Marzo","19","4:10:00 AM","4","Domingo","PÉREZ GALDOS, BENITO AV. 50","Pérez Galdos, Benito Av. 50","4","Avenida","POINT(109671.9981 100042.1332)","-58.35782","-34.62884","Moto","Auto","1","","",""
"LC-2023-0144904","2023-03-19","2023","Marzo","19","5:10:00 AM","5","Domingo","PAZ, GRAL. AV. 11092","Paz, Gral. Av. 11092","9","Av. General Paz","POINT(94005.4765 98280.58626)","-58.52911","-34.64487","Moto","Utilitario","1","","",""
"LC-2023-0145040","2023-03-19","2023","Marzo","19","3:00:00 PM","15","Domingo","CORRIENTES AV. y NEWBERY, JORGE AV.","Corrientes Av. Y Newbery, Jorge Av.","15","Avenida","POINT(101149.6376 104501.5569)","-58.45076","-34.58869","Moto","Utilitario","1","","",""
"LC-2023-0145047","2023-03-19","2023","Marzo","19","12:00:00 PM","12","Domingo","MONROE AV. y BALBÍN, RICARDO, DR. AV.","Monroe Av. Y Balbín, Ricardo, Dr. Av.","13","Avenida","POINT(99707.12627 107441.3094)","-58.46649","-34.56219","Bicicleta","Auto","1","","",""
"LC-2023-0145173","2023-03-19","2023","Marzo","19","5:20:00 PM","17","Domingo","CHIVILCOY AV. y GUTENBERG","Chivilcoy Av. Y Gutenberg","11","Avenida","POINT(95266.0957 103650.7265)","-58.5149","-34.59635","Peatón","Auto","1","","",""
"LC-2023-0145206","2023-03-19","2023","Marzo","19","10:10:00 PM","22","Domingo","DEL LIBERTADOR AV. y OLAZÁBAL","Del Libertador Av. Y Olazábal","13","Avenida","POINT(101284.9612 108259.3627)","-58.4493","-34.55481","Moto","Utilitario","1","","",""
"LC-2023-0145215","2023-03-20","2023","Marzo","20","1:30:00 AM","1","Lunes","AGÜERO y PARAGUAY","Agüero Y Paraguay","2","Calle","POINT(104923.7176 103726.972)","-58.40962","-34.59566","Moto","Taxi","1","","",""
"LC-2023-0145219","2023-03-20","2023","Marzo","20","6:15:00 AM","6","Lunes","INDEPENDENCIA AV. 3561","Independencia Av. 3561","5","Avenida","POINT(104341.4262 100933.2729)","-58.41596","-34.62084","Moto","Auto","1","","",""
"LC-2023-0145262","2023-03-20","2023","Marzo","20","8:30:00 AM","8","Lunes","ACOYTE AV. 757","Acoyte Av. 757","6","Avenida","POINT(102161.4779 102188.5446)","-58.43973","-34.60953","Moto","Transporte Público","1","","",""
"LC-2023-0145297","2023-03-20","2023","Marzo","20","7:20:00 AM","7","Lunes","JUSTO, JUAN B. AV. y BAHIA BLANCA","Justo, Juan B. Av. Y Bahia Blanca","10","Avenida","POINT(98035.57389 100509.5825)","-58.48472","-34.62467","Transporte Público","Auto","1","","",""
"LC-2023-0145404","2023-03-20","2023","Marzo","20","10:15:00 AM","10","Lunes","SUÁREZ 58","Suárez 58","4","Autopista","POINT(110025.062 99534.5971)","-58.35354","-34.63333","Moto","Auto","1","","",""
"LC-2023-0145416","2023-03-20","2023","Marzo","20","8:55:00 AM","8","Lunes","CRUZ, OSVALDO AV. 2330","Cruz, Osvaldo Av. 2330","4","Avenida","POINT(107706.1643 97331.66336)","-58.37924","-34.65329","Moto","Transporte Público","1","","",""
"LC-2023-0145458","2023-03-20","2023","Marzo","20","10:15:00 AM","10","Lunes","CORRIENTES AV. y LAVALLEJA","Corrientes Av. Y Lavalleja","15","Avenida","POINT(102609.4125 103115.3237)","-58.43485","-34.60118","Auto","Auto","1","","",""
"LC-2023-0145500","2023-03-20","2023","Marzo","20","8:00:00 AM","8","Lunes","CALVO, CARLOS y DEAN FUNES","Calvo, Carlos Y Dean Funes","3","Calle","POINT(105240.6198 100825.251)","-58.40615","-34.62181","Bicicleta","Auto","1","","",""
"LC-2023-0145701","2023-03-20","2023","Marzo","20","12:50:00 PM","12","Lunes","HABANA 2900","Habana 2900","12","Calle","POINT(96680.63247 104438.4778)","-58.49948","-34.58925","Auto","Auto","1","","",""
"LC-2023-0145916","2023-03-20","2023","Marzo","20","1:30:00 PM","13","Lunes","LACARRA AV. y CASTAÑARES AV.","Lacarra Av. Y Castañares Av.","8","Avenida","POINT(100316.9713 96956.81663)","-58.45984","-34.6567","Bicicleta","Auto","1","","",""
"LC-2023-0146070","2023-03-20","2023","Marzo","20","1:45:00 PM","13","Lunes","ZUVIRIA y DON SEGUNDO SOMBRA","Zuviria Y Don Segundo Sombra","7","Calle","POINT(100099.4239 97969.71523)","-58.46221","-34.64757","Moto","Auto","1","","",""
"LC-2023-0146222","2023-03-20","2023","Marzo","20","1:20:00 PM","13","Lunes","NEWBERY, JORGE AV. y CALDAS","Newbery, Jorge Av. Y Caldas","15","Avenida","POINT(100677.0279 103967.7928)","-58.45592","-34.5935","Bicicleta","Auto","1","","",""
"LC-2023-0146256","2023-03-20","2023","Marzo","20","3:00:00 PM","15","Lunes","PARAGUAY y CARRANZA, ÁNGEL JUSTINIANO","Paraguay Y Carranza, Ángel Justiniano","14","Calle","POINT(102781.8273 105703.8673)","-58.43298","-34.57784","Peatón","Auto","1","","",""
"LC-2023-0146309","2023-03-20","2023","Marzo","20","3:00:00 PM","15","Lunes","BALBÍN, RICARDO, DR. AV. y MANZANARES","Balbín, Ricardo, Dr. Av. Y Manzanares","12","Avenida","POINT(98113.89169 108253.3831)","-58.48385","-34.55486","Moto","Taxi","1","","",""
"LC-2023-0146635","2023-03-20","2023","Marzo","20","3:50:00 PM","15","Lunes","PAZ, GRAL. AV. 12296","Paz, Gral. Av. 12296","9","Av. General Paz","POINT(94603.19554 96768.92332)","-58.52256","-34.65865","Moto","Auto","1","","",""
"LC-2023-0146788","2023-03-20","2023","Marzo","20","3:35:00 PM","15","Lunes","LUGONES, LEOPOLDO AV. y DE LOS OMBUES AV.","Lugones, Leopoldo Av. Y De Los Ombues Av.","14","Avenida","POINT(103561.9758 108063.3416)","-58.42449","-34.55657","Moto","Auto","1","","",""
"LC-2023-0146790","2023-03-20","2023","Marzo","20","4:10:00 PM","16","Lunes","JUSTO, JUAN B. AV. y OROÑO, NICASIO","Justo, Juan B. Av. Y Oroño, Nicasio","11","Avenida","POINT(100255.5617 102594.1419)","-58.46051","-34.60588","Bicicleta","Transporte Público","1","","",""
"LC-2023-0147009","2023-03-20","2023","Marzo","20","7:30:00 AM","7","Lunes","CABILDO AV. y ECHEVERRÍA","Cabildo Av. Y Echeverría","13","Avenida","POINT(100681.4998 107352.7001)","-58.45587","-34.56299","Transporte Público","Utilitario","1","","",""
"LC-2023-0147057","2023-03-20","2023","Marzo","20","6:10:00 PM","18","Lunes","CHARCAS y GUISE","Charcas Y Guise","14","Calle","POINT(104598.5642 104238.4896)","-58.41317","-34.59105","Peatón","Moto","1","","",""
"LC-2023-0147099","2023-03-20","2023","Marzo","20","5:20:00 PM","17","Lunes","CALDERÓN DE LA BARCA, PEDRO y BEIRÓ, FRANCISCO AV.","Calderón De La Barca, Pedro Y Beiró, Francisco Av.","11","Avenida","POINT(94477.58333 101801.6803)","-58.52351","-34.61301","Auto","Transporte Público","1","","",""
"LC-2023-0147127","2023-03-20","2023","Marzo","20","6:40:00 PM","18","Lunes","DE LOS CONSTITUYENTES AV. y NUÑEZ","De Los Constituyentes Av. Y Nuñez","12","Avenida","POINT(95909.27627 106495.5272)","-58.50787","-34.5707","Moto","Utilitario","6","","",""
"LC-2023-0147184","2023-03-20","2023","Marzo","20","8:26:00 PM","20","Lunes","LINIERS VIRREY y SALCEDO","Liniers Virrey Y Salcedo","5","Calle","POINT(104609.1228 99548.14355)","-58.41303","-34.63333","Moto","Utilitario","1","","",""
"LC-2023-0147185","2023-03-20","2023","Marzo","20","7:00:00 PM","19","Lunes","BEIRÓ, FRANCISCO AV. 3800","Beiró, Francisco Av. 3800","11","Avenida","POINT(96079.79728 102983.6635)","-58.50603","-34.60236","Moto","Moto","2","","",""
"LC-2023-0147199","2023-03-20","2023","Marzo","20","7:20:00 PM","19","Lunes","GALLO 367","Gallo 367","3","Calle","POINT(104594.5286 102748.2213)","-58.41321","-34.60448","Peatón","Auto","1","","",""
"LC-2023-0147256","2023-03-20","2023","Marzo","20","7:45:00 PM","19","Lunes","ACOYTE AV. 253","Acoyte Av. 253","6","Avenida","POINT(102358.1238 101556.002)","-58.43758","-34.61524","Auto","Moto","1","","",""
"LC-2023-0147356","2023-03-20","2023","Marzo","20","6:06:00 PM","18","Lunes","CORRIENTES AV. y AYACUCHO","Corrientes Av. Y Ayacucho","3","Avenida","POINT(106238.0508 102746.1975)","-58.39529","-34.60449","Peatón","Auto","1","","",""
"LC-2023-0147360","2023-03-20","2023","Marzo","20","9:00:00 PM","21","Lunes","ALBERTI y RIVADAVIA AV.","Alberti Y Rivadavia Av.","3","Avenida","POINT(105642.1576 102148.5825)","-58.40178","-34.60988","Moto","Bicicleta","1","","",""
"LC-2023-0147384","2023-03-20","2023","Marzo","20","11:30:00 PM","23","Lunes","CABILDO AV. y GOROSTIAGA","Cabildo Av. Y Gorostiaga","13","Avenida","POINT(101904.4146 106449.7748)","-58.44254","-34.57112","Transporte Público","Auto","1","","",""
"LC-2023-0147414","2023-03-20","2023","Marzo","20","9:50:00 PM","21","Lunes","LIMA y SAN JUAN AV.","Lima Y San Juan Av.","1","Avenida","POINT(107507.8761 100785.5544)","-58.38143","-34.62216","Moto","Auto","1","","",""
"LC-2023-0147442","2023-03-20","2023","Marzo","20","6:55:00 PM","18","Lunes","ALCARAZ y JUSTO, JUAN B. AV.","Alcaraz Y Justo, Juan B. Av.","9","Avenida","POINT(94906.59448 99579.71242)","-58.51884","-34.63304","Monopatín","Transporte Público","1","","",""
"LC-2023-0147446","2023-03-20","2023","Marzo","20","5:45:00 PM","17","Lunes","CÓRDOBA AV. y MALABIA","Córdoba Av. Y Malabia","15","Avenida","POINT(102942.784 103963.2751)","-58.43122","-34.59353","Moto","Auto","1","","",""
"LC-2023-0147494","2023-03-20","2023","Marzo","20","6:00:00 AM","6","Lunes","WHITE 622","White 622","9","Calle","POINT(97375.21485 98398.38712)","-58.49192","-34.6437","Moto","Utilitario","1","","",""
"LC-2023-0147516","2023-03-20","2023","Marzo","20","1:00:00 PM","13","Lunes","INCLAN y LA RIOJA","Inclan Y La Rioja","4","Calle","POINT(105223.5328 99820.68786)","-58.40633","-34.63087","Moto","Auto","1","","",""
"LC-2023-0147523","2023-03-21","2023","Marzo","21","2:20:00 AM","2","Martes","INDEPENDENCIA AV. y URIBURU","Independencia Av. Y Uriburu","3","Avenida","POINT(104880.5402 101005.7213)","-58.41008","-34.62019","Peatón","Auto","1","","",""
"LC-2023-0147697","2023-03-21","2023","Marzo","21","10:00:00 AM","10","Martes","LOPE DE VEGA AV. y BEIRÓ, FRANCISCO AV.","Lope De Vega Av. Y Beiró, Francisco Av.","11","Avenida","POINT(94335.83993 101696.385)","-58.52505","-34.61396","Moto","Auto","1","","",""
"LC-2023-0147869","2023-03-21","2023","Marzo","21","12:45:00 PM","12","Martes","GÜEMES 3910","Güemes 3910","14","Calle","POINT(104273.3562 104728.1649)","-58.41672","-34.58663","Moto","Transporte Público","1","","",""
"LC-2023-0147874","2023-03-21","2023","Marzo","21","2:30:00 PM","14","Martes","CARABOBO AV. y DIRECTORIO AV.","Carabobo Av. Y Directorio Av.","7","Avenida","POINT(100818.0392 99752.65537)","-58.45437","-34.63149","Peatón","Auto","1","","",""
"LC-2023-0148005","2023-03-21","2023","Marzo","21","5:16:00 PM","17","Martes","PAVÓN y SOLIS","Pavón Y Solis","1","Calle","POINT(106764.1366 100337.3102)","-58.38954","-34.6262","Peatón","Transporte Público","2","","",""
"LC-2023-0148145","2023-03-21","2023","Marzo","21","4:20:00 PM","16","Martes","LAFAYETTE 1878","Lafayette 1878","4","Calle","POINT(106702.7271 96974.97156)","-58.39018","-34.65651","Moto","Auto","1","","",""
"LC-2023-0148357","2023-03-21","2023","Marzo","21","4:30:00 PM","16","Martes","CONGRESO AV. y MOLDES","Congreso Av. Y Moldes","13","Avenida","POINT(99818.60246 108029.3514)","-58.46527","-34.55689","Auto","Transporte Público","1","","",""
"LC-2023-0148441","2023-03-21","2023","Marzo","21","7:50:00 PM","19","Martes","ESCALADA AV. Y BATLLE Y ORDOÑEZ, JOSÉ P.T.","Escalada Av. Y Batlle Y Ordoñez, José P.t.","8","Avenida","POINT(99921.83252 95521.25759)","-58.46415","-34.66964","Transporte Público","Utilitario","2","","",""
"LC-2023-0148521","2023-03-21","2023","Marzo","21","8:15:00 PM","20","Martes","RIVADAVIA AV. 3395","Rivadavia Av. 3395","3","Avenida","POINT(104495.1885 102065.1872)","-58.41429","-34.61064","Moto","Auto","1","","",""
"LC-2023-0148539","2023-03-21","2023","Marzo","21","9:00:00 PM","21","Martes","MATHEU y CASEROS AV.","Matheu Y Caseros Av.","4","Avenida","POINT(106174.6519 99321.07993)","-58.39596","-34.63537","Auto","Camión","1","","",""
"LC-2023-0148596","2023-03-21","2023","Marzo","21","9:00:00 PM","21","Martes","TRIUNVIRATO AV. y 14 DE JULIO","Triunvirato Av. Y 14 De Julio","15","Avenida","POINT(100114.0539 104896.1042)","-58.46205","-34.58513","Moto","Auto","1","","",""
"LC-2023-0148691","2023-03-21","2023","Marzo","21","9:25:00 PM","21","Martes","MONTIEL 3851","Montiel 3851","8","Calle","POINT(97270.25793 94732.12189)","-58.49308","-34.67675","Bicicleta","Objeto Fijo","1","","",""
"LC-2023-0148697","2023-03-21","2023","Marzo","21","10:30:00 AM","10","Martes","DUMONT, SANTOS y LEMOS, JUAN GREGORIO, GRAL.","Dumont, Santos Y Lemos, Juan Gregorio, Gral.","15","Calle","POINT(101242.5163 104547.1657)","-58.44975","-34.58827","Moto","Auto","1","","",""
"LC-2023-0148705","2023-03-21","2023","Marzo","21","7:15:00 AM","7","Martes","BILLINGHURST y PERÓN, JUAN DOMINGO, TTE. GENERAL","Billinghurst Y Perón, Juan Domingo, Tte. General","5","Calle","POINT(104311.8758 102473.6297)","-58.41629","-34.60696","Moto","Objeto Fijo","1","","",""
"LC-2023-0148738","2023-03-22","2023","Marzo","22","2:06:00 AM","2","Miércoles","SANTA FE AV. y PUEYRREDÓN AV.","Santa Fe Av. Y Pueyrredón Av.","2","Avenida","POINT(105591.2121 103861.9025)","-58.40235","-34.59444","Bicicleta","Auto","1","","",""
"LC-2023-0148768","2023-03-22","2023","Marzo","22","8:20:00 AM","8","Miércoles","ACEVEDO 273","Acevedo 273","15","Calle","POINT(101949.3838 103336.4628)","-58.44205","-34.59919","Moto","Auto","2","","",""
"LC-2023-0148917","2023-03-22","2023","Marzo","22","9:30:00 AM","9","Miércoles","BARCO CENTENERA DEL 345","Barco Centenera Del 345","6","Calle","POINT(102059.0586 100643.6208)","-58.44084","-34.62346","Auto","Auto","1","","",""
"LC-2023-0149088","2023-03-22","2023","Marzo","22","12:00:00 PM","12","Miércoles","REGIMIENTO DE PATRICIOS AV. y VILLAFAÑE, WENCESLAO","Regimiento De Patricios Av. Y Villafañe, Wenceslao","4","Avenida","POINT(108544.7858 99409.67015)","-58.37011","-34.63455","Moto","Auto","1","","",""
"LC-2023-0149226","2023-03-22","2023","Marzo","22","10:30:00 AM","10","Miércoles","CORRIENTES AV. y LAVALLEJA","Corrientes Av. Y Lavalleja","15","Avenida","POINT(102609.4125 103115.3237)","-58.43485","-34.60118","Moto","Auto","1","","",""
"LC-2023-0149479","2023-03-22","2023","Marzo","22","12:50:00 PM","12","Miércoles","RIVADAVIA AV. 5990","Rivadavia Av. 5990","6","Avenida","POINT(101249.3535 100580.4616)","-58.44967","-34.62403","Moto","Auto","1","","",""
"LC-2023-0149859","2023-03-22","2023","Marzo","22","4:00:00 PM","16","Miércoles","MIGUELETES y NEWBERY, JORGE","Migueletes Y Newbery, Jorge","14","Calle","POINT(102679.5273 106967.9395)","-58.4341","-34.56645","Moto","Auto","1","","",""
"LC-2023-0149903","2023-03-22","2023","Marzo","22","4:35:00 PM","16","Miércoles","CHIVILCOY 453","Chivilcoy 453","10","Calle","POINT(98108.63269 100041.669)","-58.48392","-34.62889","Auto","Transporte Público","1","","",""
"LC-2023-0149986","2023-03-22","2023","Marzo","22","3:20:00 PM","15","Miércoles","RIVADAVIA AV. 1167","Rivadavia Av. 1167","1","Avenida","POINT(107367.1934 102300.1039)","-58.38298","-34.6085","Transporte Público","Camión","1","","",""
"LC-2023-0150198","2023-03-22","2023","Marzo","22","12:30:00 PM","12","Miércoles","SCALABRINI ORTIZ, RAÚL AV. y LERMA","Scalabrini Ortiz, Raúl Av. Y Lerma","15","Avenida","POINT(102942.9334 103796.4664)","-58.43122","-34.59504","Peatón","Auto","1","","",""
"LC-2023-0150307","2023-03-22","2023","Marzo","22","5:05:00 PM","17","Miércoles","JUSTO, JUAN B. AV. y OROÑO, NICASIO","Justo, Juan B. Av. Y Oroño, Nicasio","11","Avenida","POINT(100255.5617 102594.1419)","-58.46051","-34.60588","Moto","Taxi","1","","",""
"LC-2023-0150421","2023-03-22","2023","Marzo","22","3:07:00 AM","3","Miércoles","ALBERDI, JUAN BAUTISTA AV. y MARTÍNEZ, VÍCTOR","Alberdi, Juan Bautista Av. Y Martínez, Víctor","6","Avenida","POINT(101680.1228 100604.7661)","-58.44498","-34.62381","Moto","Transporte Público","1","","",""
"LC-2023-0150532","2023-03-22","2023","Marzo","22","5:15:00 PM","17","Miércoles","PAZ, GRAL. AV. 3326","Paz, Gral. Av. 3326","12","Av. General Paz","POINT(96806.92221 108859.4637)","-58.49826","-34.5492","Bicicleta","Auto","1","","",""
"LC-2023-0150574","2023-03-22","2023","Marzo","22","6:00:00 PM","18","Miércoles","NAZCA AV. y BACACAY","Nazca Av. Y Bacacay","7","Avenida","POINT(99325.13919 100093.9278)","-58.47065","-34.62842","Moto","Auto","1","","",""
"LC-2023-0150675","2023-03-22","2023","Marzo","22","6:55:00 PM","18","Miércoles","AIZPURÚA 3898","Aizpurúa 3898","12","Calle","POINT(96058.87393 107286.6724)","-58.50771","-34.56703","Moto","Auto","1","","",""
"LC-2023-0150756","2023-03-22","2023","Marzo","22","5:30:00 PM","17","Miércoles","DEL LIBERTADOR AV. y MONROE","Del Libertador Av. Y Monroe","13","Avenida","POINT(101136.7553 108467.1149)","-58.45091","-34.55294","Moto","Camión","1","","",""
"LC-2023-0150832","2023-03-22","2023","Marzo","22","3:15:00 PM","15","Miércoles","ECHEVERRÍA y HOLMBERG","Echeverría Y Holmberg","12","Calle","POINT(99080.06623 106215.5758)","-58.47332","-34.57324","Moto","Transporte Público","2","","",""
"LC-2023-0150889","2023-03-22","2023","Marzo","22","6:45:00 PM","18","Miércoles","MONROE 5462","Monroe 5462","12","Calle","POINT(97512.33658 105829.0956)","-58.49041","-34.57672","Moto","Taxi","1","","",""
"LC-2023-0151066","2023-03-22","2023","Marzo","22","6:40:00 PM","18","Miércoles","BALBÍN, RICARDO, DR. AV. y MANZANARES","Balbín, Ricardo, Dr. Av. Y Manzanares","12","Avenida","POINT(98113.89169 108253.3831)","-58.48385","-34.55486","Peatón","Auto","1","","",""
"LC-2023-0151120","2023-03-22","2023","Marzo","22","8:24:00 PM","20","Miércoles","OLAZÁBAL AV. 4800","Olazábal Av. 4800","12","Avenida","POINT(98220.69921 106048.7649)","-58.48269","-34.57474","Moto","Auto","1","","",""
"LC-2023-0151247","2023-03-22","2023","Marzo","22","7:15:00 PM","19","Miércoles","CASTAÑARES AV. y LAFUENTE AV.","Castañares Av. Y Lafuente Av.","7","Avenida","POINT(100873.9477 97676.35936)","-58.45376","-34.65021","Peatón","Auto","1","","",""
"LC-2023-0151305","2023-03-22","2023","Marzo","22","4:40:00 PM","16","Miércoles","PAZ, GRAL. AV.","Paz, Gral. Av.","9","Av. General Paz","POINT(96409.20297 95077.24406)","-58.50248","-34.67363","Moto","Auto","1","","",""
"LC-2023-0151332","2023-03-22","2023","Marzo","22","8:06:00 AM","8","Miércoles","JUSTO, JUAN B. AV. y CONCORDIA","Justo, Juan B. Av. Y Concordia","11","Avenida","POINT(98398.3395 100797.67)","-58.48076","-34.62207","Bicicleta","Transporte Público","1","","",""
