"id_hecho","fecha","año","mes","dia","hora_detallada","hora","dia_semana","","direccion","comuna","tipo_de_calle","geocodificacion_caba","longitud","latitud","causante","afectado","n_victimas","","",""
"LC-2022-0697675","2023-01-02","2023","Enero","2","4:05:00 PM","16","Lunes","RIVADAVIA AV. y COMBATE DE LOS POZOS","Rivadavia Av. Y Combate De Los Pozos","3","Avenida","POINT(106413.359 102215.8434)","-58.39338","-34.60927","Moto","Transporte Público","1","","",""
"LC-2022-0698110","2023-01-02","2023","Enero","2","5:20:00 PM","17","Lunes","RAMALLO y MELIÁN AV.","Ramallo Y Melián Av.","12","Avenida","POINT(97991.2908 109008.5058)","-58.48518","-34.54806","Moto","Auto","1","","",""
"LC-2022-0698143","2023-01-02","2023","Enero","2","5:40:00 PM","17","Lunes","DEL LIBERTADOR AV. y PAROISSIEN","Del Libertador Av. Y Paroissien","13","Avenida","POINT(100120.7288 109604.8095)","-58.46198","-34.54268","Bicicleta","Bicicleta","1","","",""
"LC-2022-0698209","2023-01-03","2023","Enero","3","1:50:00 AM","1","Martes","PAZ, GRAL. AV. y RIVERA, FRUCTUOSO, GENERAL","Paz, Gral. Av. Y Rivera, Fructuoso, General","8","Av. General Paz","POINT(98736.18607 92864.39046)","-58.47709","-34.69359","Peatón","Auto","1","","",""
"LC-2022-0698225","2023-01-03","2023","Enero","3","4:00:00 AM","4","Martes","PAZ, GRAL. AV. y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.","Paz, Gral. Av. Y Autopista Dellepiane Luis Tte. Gral.","8","Autopista","POINT(98092.20347 93781.28533)","-58.48411","-34.68532","Auto","Auto","4","","",""
"LC-2022-0698431","2023-01-03","2023","Enero","3","8:30:00 AM","8","Martes","BOCAYUVA, QUINTINO y SAN JUAN AV.","Bocayuva, Quintino Y San Juan Av.","5","Avenida","POINT(103831.5103 100336.5975)","-58.42151","-34.62622","Moto","Utilitario","1","","",""
"LC-2022-0698448","2023-01-03","2023","Enero","3","10:30:00 AM","10","Martes","OLIDEN y ZELADA","Oliden Y Zelada","9","Calle","POINT(95967.80305 97658.479)","-58.50728","-34.65036","Moto","Auto","1","","",""
"LC-2022-0698488","2023-01-03","2023","Enero","3","2:20:00 PM","14","Martes","ÁLVAREZ, JULIÁN y EL SALVADOR","Álvarez, Julián Y El Salvador","14","Calle","POINT(103667.651 104111.737)","-58.42332","-34.59219","Bicicleta","Auto","1","","",""
"LC-2022-0698694","2023-01-03","2023","Enero","3","3:20:00 PM","15","Martes","PAZ, GRAL. AV. y DONADO","Paz, Gral. Av. Y Donado","12","Av. General Paz","POINT(97098.48459 109019.9612)","-58.49491","-34.54795","Moto","Auto","1","","",""
"LC-2022-0698777","2023-01-03","2023","Enero","3","5:00:00 PM","17","Martes","RIVADAVIA AV. y PARRAL","Rivadavia Av. Y Parral","6","Avenida","POINT(102227.1203 101090.7895)","-58.43901","-34.61943","Peatón","Auto","1","","",""
"LC-2022-0699081","2023-01-03","2023","Enero","3","5:30:00 PM","17","Martes","MERCEDES y ÁLVAREZ JONTE AV.","Mercedes Y Álvarez Jonte Av.","10","Avenida","POINT(96720.74092 101444.8502)","-58.49905","-34.61624","Bicicleta","Múltiple","1","","",""
"LC-2022-0699520","2023-01-03","2023","Enero","3","6:25:00 PM","18","Martes","GAONA AV. 2902","Gaona Av. 2902","7","Avenida","POINT(99678.30085 101375.9867)","-58.4668","-34.61686","Bicicleta","Auto","1","","",""
"LC-2022-0700149","2023-01-03","2023","Enero","3","3:30:00 PM","15","Martes","PRINGLES y MITRE, BARTOLOMÉ","Pringles Y Mitre, Bartolomé","5","Calle","POINT(103287.0698 102080.2185)","-58.42746","-34.61051","Auto","Utilitario","1","","",""
"LC-2022-0700189","2023-01-03","2023","Enero","3","9:00:00 PM","21","Martes","RAMOS MEJÍA, JOSÉ MARÍA, DR. AV. 1413","Ramos Mejía, José María, Dr. Av. 1413","1","Avenida","POINT(108256.2596 104260.3311)","-58.3733","-34.59083","Peatón","Auto","1","","",""
"LC-2022-0701062","2023-01-04","2023","Enero","4","9:35:00 AM","9","Miércoles","RIVADAVIA AV. y CACHIMAYO","Rivadavia Av. Y Cachimayo","6","Avenida","POINT(101879.9409 100885.0265)","-58.4428","-34.62128","Auto","Auto","2","","",""
"LC-2022-0701111","2023-01-04","2023","Enero","4","8:05:00 AM","8","Miércoles","CERVIÑO AV. Y BULNES","Cerviño Av. Y Bulnes","14","Calle","POINT(105174.9801 105337.5875)","-58.40689","-34.58114","Peatón","Transporte Público","1","","",""
"LC-2022-0701148","2023-01-04","2023","Enero","4","12:30:00 PM","12","Miércoles","LUCA, ESTEBAN DE y GARAY, JUAN DE AV.","Luca, Esteban De Y Garay, Juan De Av.","3","Avenida","POINT(105479.3645 100031.958)","-58.40354","-34.62896","Auto","Utilitario","1","","",""
"LC-2022-0701177","2023-01-04","2023","Enero","4","9:15:00 AM","9","Miércoles","CABILDO AV. 868","Cabildo Av. 868","13","Avenida","POINT(101635.6286 106597.9496)","-58.44547","-34.56979","Peatón","Auto","1","","",""
"LC-2022-0701193","2023-01-04","2023","Enero","4","12:00:00 PM","12","Miércoles","ROCA, CNEL. AV. y PAZ, GRAL. AV.","Roca, Cnel. Av. Y Paz, Gral. Av.","8","Av. General Paz","POINT(99384.80757 92391.46347)","-58.47001","-34.69785","Moto","Objeto Fijo","1","","",""
"LC-2022-0701220","2023-01-04","2023","Enero","4","2:00:00 PM","14","Miércoles","CABILDO AV. y VILELA","Cabildo Av. Y Vilela","12","Avenida","POINT(99345.34963 109229.9463)","-58.47043","-34.54606","Transporte Público","Auto","1","","",""
"LC-2022-0701294","2023-01-04","2023","Enero","4","12:00:00 PM","12","Miércoles","BELGRANO AV. y 24 DE NOVIEMBRE","Belgrano Av. Y 24 De Noviembre","3","Avenida","POINT(104782.6036 101543.8959)","-58.41115","-34.61534","Peatón","Taxi","1","","",""
"LC-2022-0701565","2023-01-04","2023","Enero","4","12:00:00 PM","12","Miércoles","PASO 100","Paso 100","3","Calle","POINT(105490.2856 102270.0786)","-58.40344","-34.60879","Auto","Auto","1","","",""
"LC-2022-0702178","2023-01-04","2023","Enero","4","6:30:00 PM","18","Miércoles","CANGALLO 92","Cangallo 92","6","Calle","POINT(102887.9809 102530.33)","-58.43181","-34.60645","Peatón","Utilitario","1","","",""
"LC-2022-0702373","2023-01-04","2023","Enero","4","8:30:00 PM","20","Miércoles","RONDEAU y SÁNCHEZ DE LORIA AV.","Rondeau Y Sánchez De Loria Av.","5","Avenida","POINT(104801.7968 99136.63846)","-58.41093","-34.63704","Moto","Moto","1","","",""
"LC-2022-0702422","2023-01-04","2023","Enero","4","3:15:00 PM","15","Miércoles","MARTÍ, JOSÉ 40","Martí, José 40","7","Calle","POINT(99192.14142 99702.24387)","-58.47205","-34.63208","Transporte Público","Utilitario","1","","",""
"LC-2022-0702475","2023-01-04","2023","Enero","4","5:15:00 PM","17","Miércoles","SASTRE, MARCOS y COLIQUEO","Sastre, Marcos Y Coliqueo","10","Calle","POINT(95223.04126 100968.6881)","-58.51538","-34.62052","Bicicleta","Auto","1","","",""
"LC-2022-0702677","2023-01-04","2023","Enero","4","7:00:00 PM","19","Miércoles","POLA 3300","Pola 3300","8","Calle","POINT(98773.83598 95668.31004)","-58.47597","-34.66897","Auto","Auto","1","","",""
"LC-2022-0702697","2023-01-04","2023","Enero","4","7:00:00 PM","19","Miércoles","FIGUEROA ALCORTA, PRES. AV. y CASARES AV.","Figueroa Alcorta, Pres. Av. Y Casares Av.","14","Avenida","POINT(105110.0317 106073.8649)","-58.40761","-34.5745","Auto","Auto","2","","",""
"LC-2022-0702722","2023-01-04","2023","Enero","4","4:00:00 PM","16","Miércoles","CAMPOS, LUIS M. AV. 8","Campos, Luis M. Av. 8","14","Avenida","POINT(103132.3998 105817.4943)","-58.42916","-34.57682","Bicicleta","Utilitario","1","","",""
